Index,Host,Color
Aquimarina_sp._ERC_38,unknown,#000000
unc._Aquimarina_sp._568,rhabdastrellae,#dd85ff
Aquimarina_sp._sanger1,rhabdastrellae,#dd85ff
Aquimarina_rhabdastrellae_strain_RHTr2,rhabdastrellae,#dd85ff
unc._Aquimarina_sp._R3_Bin_Bin_100_sub_1,unknown,#000000
Aquimarina_hainanensis_KCTC_42423,hainanensis/intermedia,#669300
Aquimarina_sp._TRL1,hainanensis/intermedia,#669300
Aquimarina_brevivitae_DSM_17196,hainanensis/intermedia,#669300
Aquimarina_intermedia_DSM_17527,hainanensis/intermedia,#669300
Aquimarina_rhodophyticola_W85,hainanensis/intermedia,#669300
unc._Aquimarina_sp._821_3Z,unknown,#000000
unc._Aquimarina_sp._4_651_3Z,addita,#ff5ec6
Aquimarina_addita_JCM_17106,addita,#ff5ec6
unc._Aquimarina_sp._513,addita,#ff5ec6
unc._Aquimarina_sp._R3_Bin_Bin_72_1,addita,#ff5ec6
Aquimarina_sp._RZ0,addita,#ff5ec6
Aquimarina_mycalae_2201CG14_23,unknown,#000000
unc._Aquimarina_sp._2_926,besae/rubra,#01d791
Aquimarina_rubra_KCTC_52274,besae/rubra,#01d791
Aquimarina_besae_SS2_1,besae/rubra,#01d791
Aquimarina_litoralis_CCMR20,litoralis,#e8007b
Aquimarina_litoralis_JCM_15974,litoralis,#e8007b
unc._Aquimarina_sp._740,litoralis,#e8007b
unc._Aquimarina_sp._550,litoralis,#e8007b
Aquimarina_amphilecti_DSM_25232,amphilecti/latercula,#00d4c8
unc._Aquimarina_sp._X6,amphilecti/latercula,#00d4c8
Aquimarina_sp._Aq107,amphilecti/latercula,#00d4c8
Aquimarina_sp._LLG6339_5,amphilecti/latercula,#00d4c8
Aquimarina_latercula_DSM_2041,amphilecti/latercula,#00d4c8
Aquimarina_sp._MMG015,amphilecti/latercula,#00d4c8
Aquimarina_sp._AD1,amphilecti/latercula,#00d4c8
unc._Aquimarina_sp._2_563A_J,sp. BL5,#bc0043
unc._Aquimarina_sp._3_716,sp. BL5,#bc0043
unc._Aquimarina_sp._3_1138_G,sp. BL5,#bc0043
unc._Aquimarina_sp._490,sp. BL5,#bc0043
Aquimarina_sp._BL5,sp. BL5,#bc0043
unc._Aquimarina_sp._3_916_3Z,sp. BL5,#bc0043
unc._Aquimarina_sp._4R5_1_G,sp. BL5,#bc0043
unc._Aquimarina_sp._2_32,sp. BL5,#bc0043
Aquimarina_sp._2201CG5_10,unknown,#000000
Aquimarina_sp._MMG016,unknown,#000000
Aquimarina_sp._AU474,spongiae/acroporae,#028dd5
unc._Aquimarina_sp._597,spongiae/acroporae,#028dd5
unc._Aquimarina_sp._2_328,spongiae/acroporae,#028dd5
Aquimarina_spongiae_DSM_22623,spongiae/acroporae,#028dd5
Aquimarina_sp._sanger2,spongiae/acroporae,#028dd5
Aquimarina_acroporae_D1M17,spongiae/acroporae,#028dd5
unc._Aquimarina_sp._538_2_G,spongiae/acroporae,#028dd5
unc._Aquimarina_sp._249,spongiae/acroporae,#028dd5
Aquimarina_sp._U1_2,celericrescens/gracilis,#ecc22c
Aquimarina_celericrescens_DT92,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._2_968,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._1030_1_G,celericrescens/gracilis,#ecc22c
Aquimarina_gracilis_PSC32,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._679,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._2_536A,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._692,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._512_2,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._754,celericrescens/gracilis,#ecc22c
unc._Aquimarina_sp._YR205_23_3Z,aggregata/mytili,#a190ff
unc._Aquimarina_sp._17,aggregata/mytili,#a190ff
unc._Aquimarina_sp._2_863,aggregata/mytili,#a190ff
Aquimarina_aggregata_2_322,aggregata/mytili,#a190ff
Aquimarina_aggregata_392,aggregata/mytili,#a190ff
Aquimarina_aggregata_RZW4_3_2,aggregata/mytili,#a190ff
Aquimarina_aggregata_H4_Bin_METABAT__156_1,aggregata/mytili,#a190ff
Aquimarina_sp._AD10,aggregata/mytili,#a190ff
unc._Aquimarina_sp._502,aggregata/mytili,#a190ff
unc._Aquimarina_sp._723_3Z,aggregata/mytili,#a190ff
unc._Aquimarina_sp._4_1007,aggregata/mytili,#a190ff
unc._Aquimarina_sp._2_156,aggregata/mytili,#a190ff
Aquimarina_penaris_2304DJ70_9,aggregata/mytili,#a190ff
Aquimarina_mytili_JCM_17454,aggregata/mytili,#a190ff
unc._Aquimarina_sp._3_198_2,aggregata/mytili,#a190ff
unc._Aquimarina_sp._2_972,aggregata/mytili,#a190ff
unc._Aquimarina_sp._3_722_3Z,3_722_3Z,#635400
unc._Aquimarina_sp._4_722_3Z,3_722_3Z,#635400
unc._Aquimarina_sp._YR2_5_14_J,3_722_3Z,#635400
Aquimarina_algicola_M625,algicola,#64467c
unc._Aquimarina_sp._4R_1,algicola,#64467c
unc._Aquimarina_sp._700,algicola,#64467c
unc._Aquimarina_sp._4_616,algicola,#64467c
unc._Aquimarina_sp._4_646_3Z,algicola,#64467c
unc._Aquimarina_sp._4R_2,algicola,#64467c
unc._Aquimarina_sp._187_3Z,discodermiae,#ecbe7a
Aquimarina_sp._2201CG1_2_11,discodermiae,#ecbe7a
unc._Aquimarina_sp._694,discodermiae,#ecbe7a
Aquimarina_aquimarini_Aq135,aquimarini/muelleri,#803d50
Aquimarina_sp._I32.4,aquimarini/muelleri,#803d50
Aquimarina_pacifica_SW150,aquimarini/muelleri,#803d50
Aquimarina_muelleri_SJ_Lobster_29,aquimarini/muelleri,#803d50
Aquimarina_muelleri_DSM_19832,aquimarini/muelleri,#803d50
Aquimarina_sediminis_w01,sediminis/algiphila,#914e00
unc._Aquimarina_sp._637_3Z,sediminis/algiphila,#914e00
unc._Aquimarina_sp._629_G,sediminis/algiphila,#914e00
Aquimarina_algiphila_2_166,sediminis/algiphila,#914e00
Aquimarina_algiphila_ZY116,sediminis/algiphila,#914e00
Aquimarina_sp._AU119,sediminis/algiphila,#914e00
Aquimarina_algiphila_2_91_1,sediminis/algiphila,#914e00
Aquimarina_algiphila_4_60,sediminis/algiphila,#914e00
Aquimarina_algiphila_4_617_3Z,sediminis/algiphila,#914e00
Aquimarina_algiphila_4_66,sediminis/algiphila,#914e00
Aquimarina_algiphila_4_58,sediminis/algiphila,#914e00
Aquimarina_algiphila_M91,sediminis/algiphila,#914e00
Aquimarina_longa_SW024,longa/megaterium,#933127
unc._Aquimarina_sp._EG16N_Bin3,longa/megaterium,#933127
Aquimarina_sp._MAR_2010_214,longa/megaterium,#933127
Aquimarina_macrocephali_JAMB_N27,longa/megaterium,#933127
Aquimarina_sp._Aq78,longa/megaterium,#933127
Aquimarina_sp._AU58,longa/megaterium,#933127
Aquimarina_megaterium_EL33,longa/megaterium,#933127
Aquimarina_spinulae_Aq349,longa/megaterium,#933127
Aquimarina_atlantica_22II_S11_z7,longa/megaterium,#933127
Aquimarina_megaterium_XH134,longa/megaterium,#933127
Aquimarina_sp._EL_43,longa/megaterium,#933127
Aquimarina_sp._EL_32,longa/megaterium,#933127
Aquimarina_sp._EL_35,longa/megaterium,#933127
